language,model,all_feats,p (0),r (0),f1 (0),p (1),r (1),f1 (1),p (macro),r (macro),f1 (macro),acc,dim. training set,dim. test set
italian,RF,Sidorovbigramsform Sidorovbigramsdeprel deprel relationformVERB chargrams relationformNOUN,0.727,0.652,0.688,0.683,0.754,0.717,0.705,0.703,0.702,0.703,3977,872
italian,RF,ngrams Sidorovbigramsform Sidorovbigramsdeprel relationformVERB chargrams relationformNOUN,0.741,0.622,0.677,0.673,0.782,0.723,0.707,0.702,0.700,0.702,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsdeprel deprel relationformVERB deprelneg Sidorovbigramsupostag chargram,0.727,0.645,0.684,0.680,0.756,0.716,0.703,0.701,0.700,0.701,3977,872
italian,RF,Sidorovbigramsform Sidorovbigramsdeprel deprel relationformVERB deprelneg Sidorovbigramsupostag chargrams relationformNOUN,0.724,0.648,0.684,0.680,0.752,0.714,0.702,0.700,0.699,0.700,3977,872
italian,RF,Sidorovbigramsdeprel deprel Sidorovbigramsupostag chargrams relationformNOUN,0.731,0.634,0.679,0.676,0.766,0.718,0.703,0.700,0.698,0.700,3977,872
italian,RF,relationformADJ Sidorovbigramsdeprel deprel deprelneg Sidorovbigramsupostag chargrams relationformNOUN,0.733,0.627,0.676,0.673,0.770,0.718,0.703,0.699,0.697,0.698,3977,872
italian,RF,Sidorovbigramsdeprel deprel Sidorovbigramsupostag chargram,0.736,0.620,0.673,0.671,0.777,0.720,0.704,0.699,0.697,0.698,3977,872
italian,RF,relationformADJ Sidorovbigramsform Sidorovbigramsdeprel deprel relationformVERB deprelneg Sidorovbigramsupostag chargram,0.725,0.638,0.679,0.676,0.756,0.714,0.700,0.697,0.696,0.697,3977,872
italian,RF,ngrams Sidorovbigramsform Sidorovbigramsdeprel relationformVERB deprelneg Sidorovbigramsupostag chargram,0.727,0.634,0.677,0.674,0.761,0.715,0.701,0.697,0.696,0.697,3977,872
italian,RF,relationformADJ Sidorovbigramsform Sidorovbigramsdeprel deprel deprelneg Sidorovbigramsupostag chargrams relationformNOUN,0.736,0.618,0.672,0.669,0.777,0.719,0.703,0.697,0.695,0.697,3977,872
italian,RF,Sidorovbigramsform deprel relationformVERB deprelneg Sidorovbigramsupostag chargram,0.736,0.618,0.672,0.669,0.777,0.719,0.703,0.697,0.695,0.697,3977,872
italian,RF,Sidorovbigramsdeprel deprel relationformVERB chargram,0.721,0.643,0.680,0.676,0.749,0.711,0.698,0.696,0.695,0.696,3977,872
italian,RF,relationformADJ Sidorovbigramsdeprel deprel relationformVERB chargrams relationformNOUN,0.725,0.634,0.676,0.674,0.759,0.714,0.699,0.696,0.695,0.696,3977,872
italian,RF,Sidorovbigramsform Sidorovbigramsdeprel deprel relationformVERB Sidorovbigramsupostag chargrams relationformNOUN,0.729,0.627,0.674,0.671,0.766,0.715,0.700,0.696,0.695,0.696,3977,872
italian,RF,relationformADJ Sidorovbigramsform deprel relationformVERB deprelneg chargram,0.712,0.657,0.683,0.680,0.733,0.706,0.696,0.695,0.695,0.695,3977,872
italian,RF,Sidorovbigramsform Sidorovbigramsdeprel deprelneg Sidorovbigramsupostag chargrams relationformNOUN,0.746,0.600,0.665,0.664,0.795,0.724,0.705,0.697,0.694,0.697,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsform Sidorovbigramsdeprel deprelneg Sidorovbigramsupostag chargrams relationformNOUN,0.720,0.641,0.678,0.675,0.749,0.710,0.697,0.695,0.694,0.695,3977,872
italian,RF,relationformVERB deprelneg chargram,0.721,0.638,0.677,0.674,0.752,0.711,0.698,0.695,0.694,0.695,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsdeprel deprel Sidorovbigramsupostag chargram,0.727,0.627,0.673,0.671,0.763,0.714,0.699,0.695,0.694,0.695,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsdeprel deprel relationformVERB deprelneg chargrams relationformNOUN,0.743,0.602,0.665,0.664,0.791,0.722,0.704,0.696,0.694,0.696,3977,872
italian,RF,Sidorovbigramsform relationformVERB deprelneg Sidorovbigramsupostag chargram,0.729,0.622,0.672,0.669,0.768,0.715,0.699,0.695,0.693,0.695,3977,872
italian,RF,ngrams deprelneg Sidorovbigramsupostag chargram,0.718,0.641,0.677,0.674,0.747,0.709,0.696,0.694,0.693,0.694,3977,872
italian,RF,relationformADJ Sidorovbigramsform Sidorovbigramsdeprel Sidorovbigramsupostag chargrams relationformNOUN,0.734,0.613,0.668,0.667,0.777,0.718,0.700,0.695,0.693,0.695,3977,872
italian,RF,deprel deprelneg Sidorovbigramsupostag chargrams relationformNOUN,0.719,0.638,0.676,0.674,0.749,0.710,0.696,0.694,0.693,0.694,3977,872
italian,RF,ngrams Sidorovbigramsform Sidorovbigramsdeprel deprel relationformVERB deprelneg Sidorovbigramsupostag chargrams relationformNOUN,0.720,0.636,0.676,0.673,0.752,0.710,0.697,0.694,0.693,0.694,3977,872
italian,RF,relationformADJ Sidorovbigramsform Sidorovbigramsdeprel relationformVERB Sidorovbigramsupostag chargrams relationformNOUN,0.721,0.634,0.675,0.672,0.754,0.711,0.697,0.694,0.693,0.694,3977,872
italian,RF,Sidorovbigramsform deprelneg chargram,0.726,0.625,0.672,0.669,0.763,0.713,0.698,0.694,0.692,0.694,3977,872
italian,RF,relationformADJ Sidorovbigramsform deprel deprelneg Sidorovbigramsupostag chargram,0.729,0.620,0.670,0.668,0.768,0.714,0.698,0.694,0.692,0.694,3977,872
italian,RF,ngrams Sidorovbigramsform Sidorovbigramsdeprel deprel relationformVERB Sidorovbigramsupostag chargrams relationformNOUN,0.730,0.618,0.669,0.667,0.770,0.715,0.699,0.694,0.692,0.694,3977,872
italian,RF,Sidorovbigramsdeprel deprel relationformVERB Sidorovbigramsupostag chargram,0.715,0.643,0.677,0.674,0.743,0.707,0.695,0.693,0.692,0.693,3977,872
italian,RF,Sidorovbigramsform deprel deprelneg Sidorovbigramsupostag chargrams relationformNOUN,0.717,0.638,0.676,0.673,0.747,0.708,0.695,0.693,0.692,0.693,3977,872
italian,RF,ngrams deprel deprelneg Sidorovbigramsupostag chargrams relationformNOUN,0.720,0.634,0.674,0.672,0.752,0.709,0.696,0.693,0.692,0.693,3977,872
italian,RF,ngrams Sidorovbigramsform Sidorovbigramsdeprel deprel Sidorovbigramsupostag chargram,0.720,0.634,0.674,0.672,0.752,0.709,0.696,0.693,0.692,0.693,3977,872
italian,RF,relationformADJ Sidorovbigramsform Sidorovbigramsdeprel chargrams relationformNOUN,0.723,0.627,0.672,0.669,0.759,0.711,0.696,0.693,0.691,0.693,3977,872
italian,RF,ngrams Sidorovbigramsdeprel deprelneg chargram,0.724,0.625,0.671,0.669,0.761,0.712,0.696,0.693,0.691,0.693,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsform relationformVERB deprelneg Sidorovbigramsupostag chargram,0.724,0.625,0.671,0.669,0.761,0.712,0.696,0.693,0.691,0.693,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsdeprel deprelneg Sidorovbigramsupostag chargrams relationformNOUN,0.725,0.622,0.670,0.668,0.763,0.712,0.697,0.693,0.691,0.693,3977,872
italian,RF,ngrams Sidorovbigramsform deprelneg Sidorovbigramsupostag chargram,0.729,0.616,0.668,0.666,0.770,0.714,0.698,0.693,0.691,0.693,3977,872
italian,RF,relationformADJ Sidorovbigramsform Sidorovbigramsdeprel relationformVERB deprelneg Sidorovbigramsupostag chargram,0.732,0.611,0.666,0.665,0.775,0.716,0.698,0.693,0.691,0.693,3977,872
italian,RF,relationformADJ Sidorovbigramsdeprel deprel relationformVERB deprelneg Sidorovbigramsupostag chargrams relationformNOUN,0.717,0.636,0.674,0.672,0.747,0.707,0.694,0.692,0.691,0.692,3977,872
italian,RF,Sidorovbigramsdeprel relationformVERB deprelneg Sidorovbigramsupostag chargrams relationformNOUN,0.734,0.606,0.664,0.663,0.779,0.717,0.699,0.693,0.690,0.693,3977,872
italian,RF,relationformADJ ngrams deprel relationformVERB deprelneg chargrams relationformNOUN,0.721,0.627,0.671,0.669,0.756,0.710,0.695,0.692,0.690,0.692,3977,872
italian,RF,ngrams Sidorovbigramsform Sidorovbigramsdeprel deprelneg Sidorovbigramsupostag chargram,0.725,0.620,0.668,0.667,0.763,0.712,0.696,0.692,0.690,0.692,3977,872
italian,RF,relationformADJ Sidorovbigramsform deprel relationformVERB deprelneg Sidorovbigramsupostag chargram,0.725,0.620,0.668,0.667,0.763,0.712,0.696,0.692,0.690,0.692,3977,872
italian,RF,relationformADJ deprel deprelneg chargram,0.726,0.618,0.668,0.666,0.766,0.712,0.696,0.692,0.690,0.692,3977,872
italian,RF,Sidorovbigramsdeprel deprel chargram,0.726,0.618,0.668,0.666,0.766,0.712,0.696,0.692,0.690,0.692,3977,872
italian,RF,Sidorovbigramsdeprel deprel deprelneg Sidorovbigramsupostag chargram,0.726,0.618,0.668,0.666,0.766,0.712,0.696,0.692,0.690,0.692,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsdeprel relationformVERB Sidorovbigramsupostag chargrams relationformNOUN,0.728,0.613,0.666,0.665,0.770,0.714,0.697,0.692,0.690,0.692,3977,872
italian,RF,relationformVERB deprelneg Sidorovbigramsupostag chargrams relationformNOUN,0.711,0.643,0.676,0.673,0.738,0.704,0.692,0.690,0.690,0.690,3977,872
italian,RF,Sidorovbigramsdeprel deprel relationformVERB deprelneg chargram,0.714,0.638,0.674,0.672,0.743,0.705,0.693,0.690,0.690,0.690,3977,872
italian,RF,relationformADJ relationformVERB Sidorovbigramsupostag chargram,0.731,0.609,0.664,0.663,0.775,0.715,0.697,0.692,0.690,0.692,3977,872
italian,RF,relationformADJ Sidorovbigramsdeprel deprel Sidorovbigramsupostag chargram,0.715,0.636,0.673,0.671,0.745,0.706,0.693,0.691,0.690,0.690,3977,872
italian,RF,relationformADJ Sidorovbigramsform relationformVERB deprelneg Sidorovbigramsupostag chargrams relationformNOUN,0.715,0.636,0.673,0.671,0.745,0.706,0.693,0.691,0.690,0.690,3977,872
italian,RF,relationformADJ Sidorovbigramsform Sidorovbigramsdeprel deprel deprelneg chargrams relationformNOUN,0.715,0.636,0.673,0.671,0.745,0.706,0.693,0.691,0.690,0.690,3977,872
italian,RF,Sidorovbigramsdeprel deprel deprelneg chargrams relationformNOUN,0.731,0.609,0.664,0.663,0.775,0.715,0.697,0.692,0.690,0.692,3977,872
italian,RF,Sidorovbigramsform deprelneg Sidorovbigramsupostag chargrams relationformNOUN,0.716,0.634,0.672,0.670,0.747,0.707,0.693,0.691,0.689,0.690,3977,872
italian,RF,Sidorovbigramsform Sidorovbigramsdeprel deprel relationformVERB chargram,0.716,0.634,0.672,0.670,0.747,0.707,0.693,0.691,0.689,0.690,3977,872
italian,RF,Sidorovbigramsform Sidorovbigramsdeprel deprel relationformVERB deprelneg chargram,0.718,0.629,0.671,0.669,0.752,0.708,0.693,0.691,0.689,0.690,3977,872
italian,RF,ngrams Sidorovbigramsdeprel relationformVERB deprelneg chargram,0.733,0.604,0.663,0.662,0.779,0.716,0.698,0.692,0.689,0.692,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsform deprel relationformVERB deprelneg Sidorovbigramsupostag chargram,0.719,0.627,0.670,0.668,0.754,0.708,0.694,0.691,0.689,0.690,3977,872
italian,RF,Sidorovbigramsform Sidorovbigramsdeprel deprel chargrams relationformNOUN,0.722,0.622,0.668,0.667,0.759,0.710,0.694,0.691,0.689,0.690,3977,872
italian,RF,relationformADJ Sidorovbigramsform Sidorovbigramsdeprel deprel relationformVERB Sidorovbigramsupostag chargrams relationformNOUN,0.705,0.652,0.678,0.675,0.726,0.700,0.690,0.689,0.689,0.689,3977,872
italian,RF,relationformADJ ngrams relationformVERB deprelneg Sidorovbigramsupostag chargram,0.725,0.616,0.666,0.665,0.766,0.712,0.695,0.691,0.689,0.690,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsform relationformVERB Sidorovbigramsupostag chargrams relationformNOUN,0.726,0.613,0.665,0.664,0.768,0.712,0.695,0.691,0.689,0.690,3977,872
italian,RF,Sidorovbigramsform Sidorovbigramsdeprel relationformVERB deprelneg Sidorovbigramsupostag chargrams relationformNOUN,0.728,0.611,0.664,0.663,0.770,0.713,0.695,0.691,0.689,0.690,3977,872
italian,RF,Sidorovbigramsform Sidorovbigramsdeprel relationformVERB deprelneg chargrams relationformNOUN,0.729,0.609,0.663,0.663,0.772,0.713,0.696,0.691,0.688,0.690,3977,872
italian,RF,ngrams deprel relationformVERB deprelneg Sidorovbigramsupostag chargrams relationformNOUN,0.716,0.629,0.670,0.668,0.749,0.706,0.692,0.689,0.688,0.689,3977,872
italian,RF,ngrams Sidorovbigramsform Sidorovbigramsdeprel relationformVERB chargram,0.716,0.629,0.670,0.668,0.749,0.706,0.692,0.689,0.688,0.689,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsupostag chargrams relationformNOUN,0.716,0.629,0.670,0.668,0.749,0.706,0.692,0.689,0.688,0.689,3977,872
italian,RF,relationformADJ deprel chargrams relationformNOUN,0.731,0.604,0.662,0.661,0.777,0.715,0.696,0.691,0.688,0.690,3977,872
italian,RF,ngrams deprel chargram,0.720,0.622,0.668,0.666,0.756,0.708,0.693,0.689,0.688,0.689,3977,872
italian,RF,relationformADJ deprel relationformVERB Sidorovbigramsupostag chargrams relationformNOUN,0.720,0.622,0.668,0.666,0.756,0.708,0.693,0.689,0.688,0.689,3977,872
italian,RF,relationformADJ Sidorovbigramsform Sidorovbigramsdeprel relationformVERB chargrams relationformNOUN,0.720,0.622,0.668,0.666,0.756,0.708,0.693,0.689,0.688,0.689,3977,872
italian,RF,Sidorovbigramsform chargram,0.720,0.622,0.668,0.666,0.756,0.708,0.693,0.689,0.688,0.689,3977,872
italian,RF,Sidorovbigramsform Sidorovbigramsdeprel chargram,0.720,0.622,0.668,0.666,0.756,0.708,0.693,0.689,0.688,0.689,3977,872
italian,RF,ngrams Sidorovbigramsform Sidorovbigramsdeprel relationformVERB deprelneg chargram,0.721,0.620,0.667,0.665,0.759,0.709,0.693,0.689,0.688,0.689,3977,872
italian,RF,relationformADJ relationformVERB chargrams relationformNOUN,0.722,0.618,0.666,0.665,0.761,0.710,0.693,0.689,0.688,0.689,3977,872
italian,RF,relationformADJ deprelneg Sidorovbigramsupostag chargrams relationformNOUN,0.737,0.595,0.658,0.659,0.786,0.717,0.698,0.691,0.688,0.690,3977,872
italian,RF,relationformADJ Sidorovbigramsform Sidorovbigramsupostag chargram,0.723,0.616,0.665,0.664,0.763,0.710,0.694,0.689,0.688,0.689,3977,872
italian,RF,relationformADJ Sidorovbigramsform Sidorovbigramsdeprel deprel deprelneg chargram,0.724,0.613,0.664,0.663,0.766,0.711,0.694,0.689,0.688,0.689,3977,872
italian,RF,Sidorovbigramsdeprel relationformVERB chargram,0.724,0.613,0.664,0.663,0.766,0.711,0.694,0.689,0.688,0.689,3977,872
italian,RF,relationformADJ deprel relationformVERB deprelneg chargrams relationformNOUN,0.709,0.641,0.673,0.671,0.736,0.702,0.690,0.688,0.687,0.688,3977,872
italian,RF,relationformADJ Sidorovbigramsdeprel deprel relationformVERB deprelneg Sidorovbigramsupostag chargram,0.726,0.611,0.663,0.663,0.768,0.711,0.694,0.689,0.687,0.689,3977,872
italian,RF,ngrams Sidorovbigramsdeprel Sidorovbigramsupostag chargram,0.711,0.636,0.672,0.669,0.740,0.703,0.690,0.688,0.687,0.688,3977,872
italian,RF,Sidorovbigramsform deprel Sidorovbigramsupostag chargrams relationformNOUN,0.727,0.609,0.663,0.662,0.770,0.712,0.694,0.689,0.687,0.689,3977,872
italian,RF,deprel deprelneg Sidorovbigramsupostag chargram,0.713,0.632,0.670,0.668,0.745,0.704,0.691,0.688,0.687,0.688,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsform Sidorovbigramsdeprel relationformVERB deprelneg Sidorovbigramsupostag chargram,0.713,0.632,0.670,0.668,0.745,0.704,0.691,0.688,0.687,0.688,3977,872
italian,RF,relationformADJ Sidorovbigramsform Sidorovbigramsdeprel relationformVERB deprelneg chargrams relationformNOUN,0.715,0.627,0.668,0.667,0.749,0.706,0.691,0.688,0.687,0.688,3977,872
italian,RF,Sidorovbigramsupostag chargram,0.715,0.627,0.668,0.667,0.749,0.706,0.691,0.688,0.687,0.688,3977,872
italian,RF,ngrams Sidorovbigramsdeprel deprel deprelneg Sidorovbigramsupostag chargrams relationformNOUN,0.718,0.622,0.667,0.665,0.754,0.707,0.692,0.688,0.687,0.688,3977,872
italian,RF,ngrams Sidorovbigramsform Sidorovbigramsdeprel deprel deprelneg Sidorovbigramsupostag chargram,0.719,0.620,0.666,0.665,0.756,0.708,0.692,0.688,0.687,0.688,3977,872
italian,RF,ngrams Sidorovbigramsdeprel deprelneg Sidorovbigramsupostag chargrams relationformNOUN,0.720,0.618,0.665,0.664,0.759,0.708,0.692,0.688,0.687,0.688,3977,872
italian,RF,Sidorovbigramsdeprel Sidorovbigramsupostag chargram,0.720,0.618,0.665,0.664,0.759,0.708,0.692,0.688,0.687,0.688,3977,872
italian,RF,Sidorovbigramsform deprel Sidorovbigramsupostag chargram,0.720,0.618,0.665,0.664,0.759,0.708,0.692,0.688,0.687,0.688,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsdeprel deprel deprelneg Sidorovbigramsupostag chargrams relationformNOUN,0.721,0.616,0.664,0.663,0.761,0.709,0.692,0.688,0.687,0.688,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsdeprel deprel relationformVERB chargram,0.721,0.616,0.664,0.663,0.761,0.709,0.692,0.688,0.687,0.688,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsdeprel deprel relationformVERB deprelneg Sidorovbigramsupostag chargrams relationformNOUN,0.721,0.616,0.664,0.663,0.761,0.709,0.692,0.688,0.687,0.688,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsform Sidorovbigramsdeprel deprelneg chargrams relationformNOUN,0.735,0.595,0.657,0.658,0.784,0.716,0.696,0.689,0.687,0.689,3977,872
italian,RF,relationformADJ Sidorovbigramsdeprel deprelneg Sidorovbigramsupostag chargram,0.721,0.616,0.664,0.663,0.761,0.709,0.692,0.688,0.687,0.688,3977,872
italian,RF,relationformVERB deprelneg chargrams relationformNOUN,0.722,0.613,0.663,0.663,0.763,0.709,0.693,0.688,0.686,0.688,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsdeprel relationformVERB deprelneg Sidorovbigramsupostag chargrams relationformNOUN,0.725,0.609,0.662,0.661,0.768,0.711,0.693,0.688,0.686,0.688,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsform Sidorovbigramsdeprel Sidorovbigramsupostag chargrams relationformNOUN,0.709,0.636,0.671,0.669,0.738,0.702,0.689,0.687,0.686,0.687,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsform Sidorovbigramsdeprel relationformVERB Sidorovbigramsupostag chargrams relationformNOUN,0.726,0.606,0.661,0.661,0.770,0.711,0.693,0.688,0.686,0.688,3977,872
italian,RF,Sidorovbigramsdeprel deprel relationformVERB chargrams relationformNOUN,0.710,0.634,0.670,0.668,0.740,0.702,0.689,0.687,0.686,0.687,3977,872
italian,RF,relationformADJ Sidorovbigramsform Sidorovbigramsdeprel deprel relationformVERB chargrams relationformNOUN,0.714,0.627,0.668,0.666,0.747,0.704,0.690,0.687,0.686,0.687,3977,872
italian,RF,Sidorovbigramsdeprel relationformVERB deprelneg Sidorovbigramsupostag chargram,0.712,0.629,0.668,0.667,0.745,0.704,0.690,0.687,0.686,0.687,3977,872
italian,RF,ngrams relationformVERB deprelneg chargram,0.715,0.625,0.667,0.665,0.749,0.705,0.690,0.687,0.686,0.687,3977,872
italian,RF,ngrams Sidorovbigramsdeprel deprel chargram,0.715,0.625,0.667,0.665,0.749,0.705,0.690,0.687,0.686,0.687,3977,872
italian,RF,ngrams Sidorovbigramsupostag chargrams relationformNOUN,0.729,0.602,0.659,0.660,0.775,0.713,0.694,0.688,0.686,0.688,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsform relationformVERB deprelneg Sidorovbigramsupostag chargrams relationformNOUN,0.718,0.618,0.664,0.663,0.756,0.707,0.691,0.687,0.686,0.687,3977,872
italian,RF,relationformADJ Sidorovbigramsform Sidorovbigramsdeprel deprel relationformVERB chargram,0.719,0.616,0.663,0.663,0.759,0.707,0.691,0.687,0.685,0.687,3977,872
italian,RF,Sidorovbigramsdeprel deprel relationformVERB deprelneg Sidorovbigramsupostag chargram,0.719,0.616,0.663,0.663,0.759,0.707,0.691,0.687,0.685,0.687,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsform Sidorovbigramsdeprel deprel Sidorovbigramsupostag chargram,0.722,0.611,0.662,0.661,0.763,0.709,0.692,0.687,0.685,0.687,3977,872
italian,RF,relationformADJ Sidorovbigramsupostag chargram,0.723,0.609,0.661,0.661,0.766,0.709,0.692,0.687,0.685,0.687,3977,872
italian,RF,ngrams Sidorovbigramsform Sidorovbigramsdeprel deprel relationformVERB chargrams relationformNOUN,0.708,0.634,0.669,0.667,0.738,0.701,0.688,0.686,0.685,0.686,3977,872
italian,RF,ngrams Sidorovbigramsform Sidorovbigramsupostag chargram,0.724,0.606,0.660,0.660,0.768,0.710,0.692,0.687,0.685,0.687,3977,872
italian,RF,relationformADJ relationformVERB Sidorovbigramsupostag chargrams relationformNOUN,0.724,0.606,0.660,0.660,0.768,0.710,0.692,0.687,0.685,0.687,3977,872
italian,RF,Sidorovbigramsform Sidorovbigramsdeprel relationformVERB Sidorovbigramsupostag chargram,0.724,0.606,0.660,0.660,0.768,0.710,0.692,0.687,0.685,0.687,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsform Sidorovbigramsdeprel deprel deprelneg Sidorovbigramsupostag chargrams relationformNOUN,0.713,0.625,0.666,0.665,0.747,0.704,0.689,0.686,0.685,0.686,3977,872
italian,RF,relationformADJ Sidorovbigramsform deprel relationformVERB Sidorovbigramsupostag chargrams relationformNOUN,0.712,0.627,0.667,0.665,0.745,0.703,0.689,0.686,0.685,0.686,3977,872
italian,RF,Sidorovbigramsform deprelneg Sidorovbigramsupostag chargram,0.727,0.602,0.658,0.659,0.772,0.711,0.693,0.687,0.685,0.687,3977,872
italian,RF,ngrams Sidorovbigramsform Sidorovbigramsdeprel chargrams relationformNOUN,0.728,0.600,0.658,0.658,0.775,0.712,0.693,0.687,0.685,0.687,3977,872
italian,RF,relationformADJ chargram,0.714,0.622,0.665,0.664,0.749,0.704,0.689,0.686,0.685,0.686,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsform Sidorovbigramsdeprel Sidorovbigramsupostag chargram,0.715,0.620,0.664,0.663,0.752,0.705,0.689,0.686,0.685,0.686,3977,872
italian,RF,deprelneg chargram,0.716,0.618,0.663,0.663,0.754,0.705,0.689,0.686,0.684,0.686,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsform Sidorovbigramsdeprel deprel relationformVERB Sidorovbigramsupostag chargrams relationformNOUN,0.716,0.618,0.663,0.663,0.754,0.705,0.689,0.686,0.684,0.686,3977,872
italian,RF,relationformVERB Sidorovbigramsupostag chargram,0.717,0.616,0.663,0.662,0.756,0.706,0.690,0.686,0.684,0.686,3977,872
italian,RF,Sidorovbigramsform Sidorovbigramsdeprel relationformVERB deprelneg Sidorovbigramsupostag chargram,0.717,0.616,0.663,0.662,0.756,0.706,0.690,0.686,0.684,0.686,3977,872
italian,RF,relationformADJ Sidorovbigramsdeprel deprel chargrams relationformNOUN,0.720,0.611,0.661,0.661,0.761,0.707,0.690,0.686,0.684,0.686,3977,872
italian,RF,Sidorovbigramsform Sidorovbigramsdeprel deprel deprelneg chargrams relationformNOUN,0.703,0.643,0.671,0.670,0.726,0.697,0.686,0.685,0.684,0.685,3977,872
italian,RF,ngrams Sidorovbigramsform deprel chargrams relationformNOUN,0.721,0.609,0.660,0.660,0.763,0.708,0.690,0.686,0.684,0.686,3977,872
italian,RF,relationformADJ Sidorovbigramsdeprel deprel deprelneg Sidorovbigramsupostag chargram,0.721,0.609,0.660,0.660,0.763,0.708,0.690,0.686,0.684,0.686,3977,872
italian,RF,ngrams Sidorovbigramsform Sidorovbigramsdeprel deprel relationformVERB deprelneg chargram,0.706,0.636,0.669,0.667,0.733,0.699,0.687,0.685,0.684,0.685,3977,872
italian,RF,relationformADJ Sidorovbigramsdeprel relationformVERB deprelneg chargram,0.722,0.606,0.659,0.659,0.766,0.709,0.691,0.686,0.684,0.686,3977,872
italian,RF,Sidorovbigramsform deprel relationformVERB chargrams relationformNOUN,0.722,0.606,0.659,0.659,0.766,0.709,0.691,0.686,0.684,0.686,3977,872
italian,RF,ngrams Sidorovbigramsform Sidorovbigramsdeprel deprel Sidorovbigramsupostag chargrams relationformNOUN,0.709,0.629,0.667,0.665,0.740,0.701,0.687,0.685,0.684,0.685,3977,872
italian,RF,ngrams Sidorovbigramsform relationformVERB deprelneg chargrams relationformNOUN,0.711,0.625,0.665,0.664,0.745,0.702,0.687,0.685,0.684,0.685,3977,872
italian,RF,relationformADJ deprel relationformVERB deprelneg Sidorovbigramsupostag chargrams relationformNOUN,0.711,0.625,0.665,0.664,0.745,0.702,0.687,0.685,0.684,0.685,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsdeprel deprel relationformVERB Sidorovbigramsupostag chargram,0.711,0.625,0.665,0.664,0.745,0.702,0.687,0.685,0.684,0.685,3977,872
italian,RF,relationformADJ Sidorovbigramsform relationformVERB Sidorovbigramsupostag chargrams relationformNOUN,0.710,0.627,0.666,0.665,0.743,0.701,0.687,0.685,0.684,0.685,3977,872
italian,RF,relationformADJ Sidorovbigramsform Sidorovbigramsdeprel deprel relationformVERB deprelneg chargram,0.725,0.602,0.658,0.658,0.770,0.710,0.691,0.686,0.684,0.686,3977,872
italian,RF,Sidorovbigramsdeprel deprelneg chargrams relationformNOUN,0.726,0.600,0.657,0.658,0.772,0.710,0.692,0.686,0.684,0.686,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsdeprel deprel deprelneg chargram,0.713,0.620,0.663,0.663,0.749,0.703,0.688,0.685,0.683,0.685,3977,872
italian,RF,ngrams Sidorovbigramsdeprel deprelneg Sidorovbigramsupostag chargram,0.714,0.618,0.663,0.662,0.752,0.704,0.688,0.685,0.683,0.685,3977,872
italian,RF,relationformADJ deprel Sidorovbigramsupostag chargram,0.714,0.618,0.663,0.662,0.752,0.704,0.688,0.685,0.683,0.685,3977,872
italian,RF,relationformADJ ngrams deprel relationformVERB deprelneg Sidorovbigramsupostag chargram,0.715,0.616,0.662,0.661,0.754,0.705,0.688,0.685,0.683,0.685,3977,872
italian,RF,relationformADJ ngrams Sidorovbigramsform Sidorovbigramsdeprel deprel deprelneg Sidorovbigramsupostag chargram,0.715,0.616,0.662,0.661,0.754,0.705,0.688,0.685,0.683,0.685,3977,872
italian,RF,deprel Sidorovbigramsupostag chargram,0.717,0.613,0.661,0.661,0.756,0.705,0.689,0.685,0.683,0.685,3977,872
italian,RF,relationformADJ Sidorovbigramsdeprel deprelneg chargrams relationformNOUN,0.717,0.613,0.661,0.661,0.756,0.705,0.689,0.685,0.683,0.685,3977,872
italian,RF,relationformADJ Sidorovbigramsdeprel relationformVERB Sidorovbigramsupostag chargrams relationformNOUN,0.717,0.613,0.661,0.661,0.756,0.705,0.689,0.685,0.683,0.685,3977,872
italian,RF,relationformADJ Sidorovbigramsdeprel Sidorovbigramsupostag chargrams relationformNOUN,0.717,0.613,0.661,0.661,0.756,0.705,0.689,0.685,0.683,0.685,3977,872
italian,RF,relationformADJ Sidorovbigramsform Sidorovbigramsdeprel deprelneg chargram,0.717,0.613,0.661,0.661,0.756,0.705,0.689,0.685,0.683,0.685,3977,872
